	Organism	proteinID	GCX_id
393	Streptomyces acidiscabies	WP_010355257.1	GCF_000242715.1
394	Streptomyces acidiscabies	WP_050373244.1	GCF_001189015.1
395	Streptomyces acidiscabies	WP_143573552.1	GCF_001941325.1
396	Streptomyces acidiscabies	WP_075736688.1	GCF_001941275.1
397	Streptomyces acidiscabies	WP_075824208.1	GCF_001949645.1
398	Streptomyces albulus	WP_052029666.1	GCF_000504065.1
399	Streptomyces albulus	WP_051661955.1	GCF_000695235.1
400	Streptomyces albulus	WP_020930534.1	GCF_000403765.2
401	Streptomyces albulus CK-15	WP_053164456.1	GCF_000935185.3
402	Streptomyces albus subsp. albus	KUJ69523.1	GCA_001507455.1
403	Streptomyces alfalfae	WP_103557568.1	GCF_001975025.1
404	Streptomyces alfalfae	APY90477.1	GCA_001975025.1
405	Streptomyces celluloflavus	WP_110952043.1	GCF_000720995.1
406	Streptomyces davaonensis	WP_106435855.1	GCF_000349325.1
407	Streptomyces davaonensis JCM 4913	CCK25062.1	GCA_000349325.1
408	Streptomyces durhamensis	WP_107069410.1	GCF_000725475.1
409	Streptomyces fragilis	WP_108953357.1	GCF_003112515.1
410	Streptomyces halstedii	WP_164345485.1	GCF_010548175.1
411	Streptomyces kasugaensis	WP_131121992.1	GCF_004320085.1
412	Streptomyces kasugaensis	WP_094795567.1	GCF_002261115.1
413	Streptomyces kasugaensis	WP_131122990.1	GCF_004320085.1
414	Streptomyces laurentii	BAU88116.1	GCA_002355495.1
415	Streptomyces pyridomyceticus	WP_051829850.1	GCF_000717725.1
416	Streptomyces rubellomurinus	KJS59292.1	GCA_000961885.1
417	Streptomyces rubellomurinus	WP_045701838.1	GCF_000961885.1
418	Streptomyces sp. 4121.5	WP_100839922.1	GCF_002813165.1
419	Streptomyces sp. 769	WP_078875237.1	GCF_000816025.1
420	Streptomyces sp. A1499	WP_136242851.1	GCF_004798575.1
421	Streptomyces sp. CB02923	WP_073765021.1	GCF_001905005.1
422	Streptomyces sp. CMB-StM0423	WP_101419868.1	GCF_002847285.1
423	Streptomyces sp. CNH099	WP_078627588.1	GCF_000514715.1
424	Streptomyces sp. CNQ-509	WP_078898505.1	GCF_001011035.1
425	Streptomyces sp. CNQ-509	AKH87109.1	GCA_001011035.1
426	Streptomyces sp. CNZ287	WP_145781355.1	GCF_007827615.1
427	Streptomyces sp. DI166	WP_093723927.1	GCF_900091315.1
428	Streptomyces sp. DpondAA-D4	SCE20524.1	GCA_900091745.1
429	Streptomyces sp. NBRC 110611	GAU68944.1	GCA_001590865.1
430	Streptomyces sp. NBRC 110611	WP_107288389.1	GCF_001590865.1
431	Streptomyces sp. NRRL F-6131	WP_030302611.1	GCF_000719695.1
432	Streptomyces sp. NRRL S-1521	WP_062771000.1	GCF_001509505.1
433	Streptomyces sp. NTK 937	KDQ65957.1	GCA_000698495.1
434	Streptomyces sp. Ncost-T10-10d	WP_093896634.1	GCF_900091955.1
435	Streptomyces sp. OspMP-M45	SBU93598.1	GCA_900090065.1
436	Streptomyces sp. PalvLS-984	SCD35021.1	GCA_900091765.1
437	Streptomyces sp. PpalLS-921	SCE23245.1	GCA_900091835.1
438	Streptomyces sp. PpalLS-921	WP_093822013.1	GCF_900091835.1
439	Streptomyces sp. QMT-28	WP_153292222.1	GCF_009498275.1
440	Streptomyces sp. ST1015	WP_162650440.1	GCF_003268535.1
441	Streptomyces sp. ST1020	WP_112476176.1	GCF_003268555.1
442	Streptomyces sp. TLI_053	WP_093863897.1	GCF_900105395.1
443	Streptomyces sp. V2	WP_109361757.1	GCF_003129505.1
444	Streptomyces sp. WAC 05977	WP_126734676.1	GCF_003977855.1
445	Streptomyces sp. WMMB 714	WP_078895379.1	GCF_900090125.1
446	Streptomyces sp. XY431	WP_053642871.1	GCF_001279805.1
447	Streptomyces sp. XY431	KOV38179.1	GCA_001279805.1
448	Streptomyces uncialis	WP_079184458.1	GCF_001905345.1
449	Streptomyces uncialis	OKH95165.1	GCA_001905345.1
450	Streptomyces vitaminophilus	WP_018385945.1	GCF_001445835.1
451	Streptosporangium canum	WP_093887895.1	GCF_900113865.1
452	Streptosporangium minutum	WP_086578789.1	GCF_002149035.1
453	Streptosporangium roseum	WP_031168081.1	GCF_000725815.1
454	Streptosporangium roseum DSM 43021	WP_012889146.1	GCF_000024865.1
455	Symploca sp. SIO1C4	NER31838.1	GCA_010672885.1
456	Symploca sp. SIO2B6	NET07729.1	GCA_010672535.1
457	Symploca sp. SIO2E6	NET55353.1	GCA_010672425.1
458	Symploca sp. SIO2G7	NEP60517.1	GCA_010692575.1
459	Symploca sp. SIO2G7	NEP58315.1	GCA_010692575.1
460	Symploca sp. SIO3C6	NEO31120.1	GCA_010692425.1
461	Tessaracoccus sp. OH4464_COT-324	WP_125170640.1	GCF_003932855.1
462	Thalassobius gelatinovorus	WP_058262127.1	GCF_900111045.1
463	Tolypothrix bouteillei VB521301	WP_038071988.1	GCF_000760695.3
464	Tolypothrix campylonemoides VB511288	WP_041033272.1	GCF_000828075.3
465	Tolypothrix campylonemoides VB511288	WP_041038271.1	GCF_000828075.3
466	Tolypothrix sp. NIES-4075	WP_089125742.1	GCF_002218085.1
467	Tolypothrix sp. NIES-4075	WP_089125741.1	GCF_002218085.1
468	Tolypothrix sp. NIES-4075	WP_089128067.1	GCF_002218085.1
469	Variovorax sp. EL159	WP_093238871.1	GCF_900100965.1
470	Variovorax sp. OV700	WP_093015775.1	GCF_900099805.1
471	Variovorax sp. Root318D1	WP_055797930.1	GCF_001424835.1
472	Westiellopsis prolifica	WP_131121152.1	GCF_004323185.1
473	Westiellopsis prolifica IICB1	TBR56966.1	GCA_004323185.1
474	Xanthomonas arboricola	WP_104576195.1	GCF_002940165.1
475	Xanthomonas arboricola	WP_080716149.1	GCF_000724915.1
476	Xanthomonas arboricola	WP_102252157.1	GCF_900240325.1
477	Xanthomonas citri pv. glycines	WP_154832017.1	GCF_007724205.1
478	Xenococcus sp. PCC 7305	WP_006512447.1	GCF_000332055.1
479	Zhizhongheella caldifontis	WP_104303383.1	GCF_002930615.1
480	Clostridium cellulosi	WP_045085970.1	GCF_000953215.1
481	Clostridium cellulosi	PZM89247.1	GCA_003242325.1
482	Clostridium cellulosi	CDZ24035.1	GCA_000953215.1
483	Scytonema hofmanni UTEX 2349	WP_038296496.1	GCF_000582685.1
484	cyanobacterium PCC 7702	WP_148284626.1	GCF_000332255.1
485	delta proteobacterium PSCGC 5451	WP_051352696.1	GCF_000483025.1
486	Micromonospora sp. PPF5-17B	WP_123239725.1	GCF_010671765.1
487	Novosphingobium sp. 18052	WP_159978968.1	GCF_902706245.1
488	Streptomyces  sp. SM18	WP_103492571.1	GCF_002910775.2
489	Streptomyces sp. AmelKG-A3	WP_093526515.1	GCF_900090115.1
490	Streptomyces sp. AmelKG-E11A	WP_099279319.1	GCF_002705975.1
491	Streptomyces sp. MspMP-M5	WP_106731933.1	GCF_000373585.1
492	Streptomyces sp. OspMP-M45	WP_093675912.1	GCF_900090065.1
